"race","age","priors_count","c_charge_degree","is_recid"
0,34,0,"F",1
0,24,4,"F",1
1,41,14,"F",1
1,39,0,"M",0
1,27,0,"F",0
0,23,3,"M",1
1,37,0,"M",0
0,41,0,"F",0
1,47,1,"F",1
0,31,7,"F",1
0,25,3,"F",0
1,31,6,"F",1
1,31,5,"F",1
0,64,13,"F",1
0,21,1,"F",1
1,27,0,"M",1
1,21,0,"F",0
1,43,1,"M",0
0,27,8,"F",1
0,26,5,"F",1
0,33,0,"F",1
1,30,9,"F",1
0,32,4,"F",1
1,55,0,"F",0
1,33,4,"M",1
1,24,1,"M",1
0,34,21,"F",1
1,29,0,"M",0
0,21,2,"F",0
0,51,2,"M",0
1,29,2,"M",1
0,51,7,"F",0
0,29,0,"F",1
1,25,9,"M",1
0,35,13,"F",1
1,49,0,"M",0
0,29,0,"F",0
1,29,1,"F",1
0,31,15,"F",1
0,24,2,"F",1
0,49,4,"M",0
1,53,8,"F",0
0,35,5,"F",0
0,27,15,"F",1
1,38,4,"M",1
0,22,1,"F",1
0,29,4,"F",1
0,27,6,"F",1
0,56,0,"M",0
0,39,1,"M",0
0,29,5,"F",1
1,27,1,"F",1
0,40,2,"F",0
0,22,1,"M",1
1,22,0,"F",0
0,26,1,"F",1
0,32,0,"F",0
0,41,1,"M",0
0,30,8,"M",1
0,25,14,"F",1
0,22,2,"F",1
0,35,1,"M",0
0,36,9,"F",1
1,26,7,"F",1
1,25,9,"F",1
1,20,0,"F",0
1,39,2,"F",1
1,54,0,"M",0
0,19,1,"M",1
0,30,1,"F",0
1,39,0,"F",1
1,24,8,"F",1
1,30,0,"F",0
1,31,0,"M",0
1,39,1,"F",0
1,43,1,"F",0
0,21,3,"F",1
1,38,5,"M",1
1,34,0,"F",0
0,33,5,"F",1
0,37,3,"F",0
1,42,1,"F",1
0,41,10,"F",1
0,22,0,"F",1
0,33,28,"F",1
0,31,1,"M",0
1,31,13,"F",1
0,27,3,"F",1
1,52,3,"M",0
0,33,19,"F",1
1,42,6,"F",0
1,25,2,"F",0
1,30,1,"M",0
1,28,0,"M",1
0,24,0,"M",0
1,29,10,"F",1
1,44,2,"M",1
0,32,3,"F",1
1,31,2,"M",1
0,31,1,"M",1
1,59,1,"F",1
0,20,1,"F",0
1,43,0,"M",0
0,38,9,"F",1
0,32,11,"F",1
0,33,8,"M",1
0,31,0,"F",1
0,33,7,"F",1
0,27,2,"F",1
0,20,0,"F",0
1,26,0,"M",0
0,61,1,"F",1
0,32,4,"F",1
0,26,2,"M",1
1,39,1,"M",0
1,30,3,"F",1
0,30,1,"F",0
1,48,2,"M",0
0,22,1,"F",0
1,46,6,"F",1
1,31,0,"F",0
0,25,1,"M",1
0,32,5,"F",0
0,62,8,"F",0
0,28,6,"M",1
1,78,1,"M",1
1,56,0,"F",0
0,22,1,"F",1
0,47,23,"M",1
0,23,0,"M",1
0,66,3,"F",1
